Name,Aliases,Description,Hasura Type
bigint,int8,signed eight-byte integer,String_
bigserial,serial8,autoincrementing eight-byte integer,String_
bit [ (n) ],,fixed-length bit string,Implicit_
bit varying [ (n) ],varbit [ (n) ],variable-length bit string,Implicit_
boolean,bool,logical Boolean (true/false),Bool_
box,,rectangular box on a plane,Implicit_
bytea,,binary data (“byte array”),Implicit_
character [ (n) ],char [ (n) ],fixed-length character string,Char_
character varying [ (n) ],varchar [ (n) ],variable-length character string,String_
cidr,,IPv4 or IPv6 network address, Implicit_
circle,,circle on a plane,Implicit_
date,,"calendar date (year, month, day)",Date_
double precision,float8,double precision floating-point number (8 bytes),Float_
inet,,IPv4 or IPv6 host address,Implicit_
integer,"int, int4",signed four-byte integer,Int_
interval [ fields ] [ (p) ],,time span,Implicit_
json,,textual JSON data,JSON_
jsonb,,"binary JSON data, decomposed",JSONB_
line,,infinite line on a plane,Implicit_
lseg,,line segment on a plane, Implicit_
ltree,,labels of data stored in a hierarchical tree-like structure,Implicit_
geometry,,PostGIS Geometry type, Geometry_
geography,,PostGIS Geography type, Geography_
macaddr,,MAC (Media Access Control) address, Implicit_
macaddr8,,MAC (Media Access Control) address (EUI-64 format), Implicit_
money,,currency amount,Implicit_
"numeric [ (p, s) ]","decimal [ (p, s) ]",exact numeric of selectable precision,             Numeric_
path,,geometric path on a plane,Implicit_
pg_lsn,,PostgreSQL Log Sequence Number,Implicit_
point,,geometric point on a plane,Implicit_
polygon,,closed geometric path on a plane,Implicit_
real,float4,single precision floating-point number (4 bytes),Float_
smallint,int2,signed two-byte integer,Int_
smallserial,serial2,autoincrementing two-byte integer,Int_
serial,serial4,autoincrementing four-byte integer,Int_
text,,variable-length character string,String_
time [ (p) ] [ without time zone ],,time of day (no time zone),Implicit_                         
time [ (p) ] with time zone,timetz,"time of day, including time zone",Timetz_
timestamp [ (p) ] [ without time zone ],,date and time (no time zone),Implicit_
timestamp [ (p) ] with time zone,timestamptz,"date and time, including time zone",Timestamptz_
tsquery,,text search query,Implicit_
tsvector,,text search document,Implicit_
txid_snapshot,,user-level transaction ID snapshot,Implicit_
uuid,,universally unique identifier,Implicit_
xml,,XML data,Implicit_
